raw_row_index,record_id,compound_id,target,e3_ligase,cell_line,treatment_time_h,dc50_raw,dc50_obs_type,dc50_value,dc50_lower,dc50_upper,dmax_raw,dmax_obs_type,dmax_value,dmax_lower,dmax_upper,pctdeg_raw,pctdeg_value,source_quality,article_doi,provisional_activity_evidence,stratum,annotator_activity_evidence,annotator_confidence,annotator_note
6267,6267,3806,EP300,CRBN,RS4-11,4.0,0.8,exact,0.8,,,77,exact,77.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00492,P,exact|P,P,中,DC50=0.8远小于100，虽然DMax=77<80，但不足DC50更有说服力
1495,1495,1003,TRKC,CRBN,,24.0,100-1000,interval-censored,,100.0,1000.0,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.molpharmaceut.9b00673,A,interval-censored|A,A,中,
14082,14115,9317,CHEK1,CRBN,,,,endpoint-missing,,,,2000,exact,2000.0,,,,,PROTAC-DB 3.0 (database summary of literature),,P,endpoint-missing|P,U,中,
7560,7560,4694,BCL-xL,CRBN,,24.0,,endpoint-missing,,,,88.09,exact,88.09,,,,,PROTAC-DB 3.0 (database summary of literature),10.7150/thno.75421,P,endpoint-missing|P,P,中,
4284,4284,2435,HDAC1,VHL,HCT-116,24.0,,endpoint-missing,,,,6,exact,6.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c02179,N,endpoint-missing|N,N,高,
4267,4267,2429,HDAC2,VHL,HCT-116,24.0,,endpoint-missing,,,,5,exact,5.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c02179,N,endpoint-missing|N,N,高,
10042,10070,6468,CBP,CRBN,,24.0,,endpoint-missing,,,,42,exact,42.0,,,N.D./N.D./N.D./22/42/42,35.333333333333336,PROTAC-DB 3.0 (database summary of literature),10.1016/j.bmcl.2024.129676,A,endpoint-missing|A,A,中,
4241,4241,2422,HDAC3,VHL,HCT-116,24.0,,endpoint-missing,,,,44,exact,44.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c02179,A,endpoint-missing|A,A,中,
10119,10147,6506,hMETTL3,CRBN,MOLM-13,24.0,,endpoint-missing,,,,,endpoint-missing,,,,N.D.,,PROTAC-DB 3.0 (database summary of literature),10.1021/jacsau.4c00040,U,endpoint-missing|U,U,高,
3749,3749,2190,Wee1,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.cell.2020.10.038,U,endpoint-missing|U,U,高,
7239,7239,4431,MEK2,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acsmedchemlett.2c00446,U,endpoint-missing|U,U,高,
15083,15116,10312,ERalpha,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,U,endpoint-missing|U,U,高,
9838,9866,6325,FKBP12,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.chembiol.2024.01.003,U,endpoint-missing|U,U,高,
456,456,285,RIPK2,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.chembiol.2017.09.010,U,endpoint-missing|U,U,高,
12179,12209,7884,SMARCA4,VHL,,8.0,,endpoint-missing,,,,,endpoint-missing,,,,0/16/28/25/23,18.4,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.116751,U,endpoint-missing|U,U,高,
3440,3440,2161,PRKAA1,VHL,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.cell.2020.10.038,U,endpoint-missing|U,U,高,
8014,8014,4985,BRD4 BD2,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.chembiol.2024.01.003,U,endpoint-missing|U,U,高,
8486,8486,5249,CDK13,CRBN,,15.0,,endpoint-missing,,,,,endpoint-missing,,,,74,74.0,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.2c00384,U,endpoint-missing|U,U,高,
153,153,116,AR,VHL,LNCaP,6.0,,endpoint-missing,,,,,endpoint-missing,,,,38/80/95,71.0,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.8b01631,U,endpoint-missing|U,U,高,
12464,12497,8128,KDM3B,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1039/d4md00122b,U,endpoint-missing|U,U,高,
6642,6642,4066,BRD3 BD1,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2023.115381,U,endpoint-missing|U,U,高,
13537,13570,8871,TRIB2,CRBN,PC3,,,endpoint-missing,,,,,endpoint-missing,,,,N.D./N.D.,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.117016,U,endpoint-missing|U,U,高,
14791,14824,10020,Tau,CRBN,,,,endpoint-missing,,,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,U,endpoint-missing|U,U,高,
